1	15.51
2	56.08
3	57.22
4	55.98
5	53.41
6	57.86
7	48.62
8	41.90
9	-36.05
10	26.49
11	42.09
12	27.18
13	33.88
14	47.80
15	44.22
16	46.58
17	47.68
18	-39.09
19	66.30
20	38.39
21	-37.25
22	43.83
23	65.39
24	-37.94
25	56.64
26	24.72
27	58.29
28	46.51
29	42.29
30	51.22
31	49.69
32	65.38
33	66.95
34	63.44
35	65.56
36	3.56
37	70.53
38	68.75
39	67.38
40	8.72
41	67.42
42	-5.34
43	72.02
44	39.22
45	80.09
46	75.79
47	65.79
48	78.73
49	70.46
50	63.83
51	61.29
52	92.99
53	70.89
54	52.58
55	-15.67
56	60.53
57	44.37
58	-12.34
59	56.14
60	50.70
61	80.17
62	-10.75
63	55.08
64	75.18
65	52.40
66	80.95
67	51.49
68	53.72
69	85.31
70	74.30
71	85.51
72	55.67
73	62.54
74	90.68
75	94.18
76	86.89
77	96.98
78	107.22
79	78.71
80	95.06
81	61.21
82	93.56
83	73.03
84	54.39
85	72.11
86	70.95
87	77.86
88	95.29
89	91.46
90	68.45
91	62.28
92	89.29
93	104.40
94	72.62
95	108.99
96	113.23
97	114.58
98	107.79
99	116.58
100	119.77
101	123.81
102	109.76
103	131.26
104	83.77
105	135.40
106	113.26
107	73.28
108	107.14
109	128.43
110	75.66
111	86.01
112	133.01
113	120.99
114	79.29
115	73.51
116	106.40
117	117.04
118	117.83
119	125.51
120	123.73
121	130.21
122	136.89
123	104.74
124	96.52
125	88.38
126	88.43
127	89.92
128	95.00
129	141.02
130	155.09
131	115.01
132	105.16
133	130.55
134	123.03
135	132.41
136	78.45
137	94.47
138	150.13
139	121.14
140	150.61
141	132.60
142	120.58
143	138.41
144	98.25
145	126.96
146	151.89
147	100.61
148	92.87
149	96.30
150	101.17
151	100.87
152	118.34
153	139.79
154	99.98
155	113.45
156	100.77
157	110.03
158	160.22
159	96.56
160	104.16
161	107.12
162	122.09
163	142.22
164	122.45
165	119.35
166	116.65
167	99.98
168	132.26
169	102.24
170	150.78
171	113.05
172	116.94
173	116.89
174	157.34
175	137.78
176	137.23
177	149.44
178	161.92
179	112.22
180	145.49
181	112.81
182	112.46
183	110.86
184	111.71
185	132.97
186	128.53
187	117.07
188	150.88
189	126.50
190	127.74
191	134.70
192	114.09
193	116.76
194	147.25
195	155.43
196	183.06
197	176.89
198	148.12
199	131.59
200	133.54
201	131.45
202	108.10
203	116.22
204	121.93
205	132.91
206	145.22
207	167.02
208	128.54
209	124.13
210	139.40
211	141.20
212	113.42
213	112.95
214	114.27
215	144.62
216	146.87
217	151.43
218	127.91
219	131.42
220	123.19
221	124.26
222	125.46
223	138.18
224	169.98
225	156.54
226	165.22
227	164.27
228	162.90
229	147.57
230	123.00
231	142.79
232	145.51
233	117.28
234	150.01
235	130.53
236	139.38
237	132.34
238	118.54
239	150.43
240	156.91
241	150.77
242	111.28
243	101.34
244	135.25
245	99.01
246	96.19
247	98.62
248	155.70
249	140.46
250	157.49
251	156.22
252	102.01
253	128.46
254	111.59
255	93.64
256	134.34
257	127.13
258	95.86
259	128.16
260	129.77
261	108.49
262	85.07
263	125.78
264	84.67
265	96.42
266	94.93
267	136.69
268	138.71
269	116.80
270	88.01
271	89.31
272	94.49
273	89.14
274	89.06
275	86.93
276	98.81
277	98.18
278	80.92
279	83.86
280	82.64
281	97.26
282	105.27
283	86.37
284	106.56
285	88.52
286	109.30
287	77.28
288	108.08
289	97.47
290	72.99
291	110.66
292	102.17
293	94.55
294	92.29
295	88.93
296	88.36
297	65.95
298	63.74
299	68.41
300	99.15
301	95.75
302	97.94
303	101.91
304	91.62
305	87.79
306	55.55
307	73.55
308	77.31
309	57.90
310	88.99
311	91.29
312	76.28
313	89.18
314	86.30
315	71.24
316	52.26
317	52.55
318	67.01
319	80.27
320	46.39
321	47.35
322	62.79
323	40.36
324	64.60
325	71.59
326	38.23
327	70.89
328	45.69
329	76.55
330	81.86
331	71.26
332	66.23
333	53.99
334	54.41
335	71.90
336	70.71
337	47.51
338	72.15
339	50.96
340	71.82
341	60.43
342	60.82
343	38.09
344	67.73
345	43.86
346	64.71
347	45.70
348	45.46
349	54.70
350	-34.70
351	27.31
352	33.09
353	27.04
354	33.88
355	30.88
356	35.24
357	34.13
358	60.17
359	57.21
360	53.38
361	59.01
362	52.10
363	57.00
364	-12.11
365	9.85
