6.7,6.016149549259366,9.787725867619049,67.88135097313341,0.0,0.0
5.5,5.4385678785786125,9.794938573095237,67.08526298294308,0.0,0.0
7.2,8.12186812311774,9.803066661428574,66.24179945338867,0.0,0.0
8.0,7.543168825017566,9.812102723333334,65.10434423825542,0.0,0.0
6.3,5.795925759463784,9.822038541190476,63.44740124839412,0.0,0.0
6.4,5.038304760288102,9.832865115952382,62.18862726082275,0.0,0.0
6.1,5.94755279779969,9.844572697142857,68.55616471107619,10.5,0.0
9.0,8.569504832469722,9.85682159952381,67.06332398602909,0.5,0.0
4.4,-1.6305685940512307,9.869899920952381,68.85466553290419,3.0,0.0
5.9,6.001327013615589,9.883796173095238,68.1932287087843,0.0,0.0
7.0,5.727080903442547,9.89849827714286,67.52861378331076,0.5,0.0
7.7,6.063210673475051,9.913993600000001,65.98698146698356,0.0,0.0
7.4,6.699764552386031,9.930268991190477,64.88507102492115,0.0,0.0
6.0,6.6952232639667875,9.94731082190476,70.42662500826033,9.0,0.0
3.7,-0.6398957436919455,9.96510502357142,79.75995834159367,14.0,0.0
4.2,0.09598173282104394,9.983637126428562,92.75995834159367,19.5,0.0
6.9,7.441568773114688,10.002892299047605,91.42730651240785,0.0,0.0
5.1,4.441850607461872,10.022855386666652,90.6536892299712,0.0,0.0
6.2,5.932080814603327,10.04351095071427,89.27327489229502,0.0,0.0
6.4,5.74879212277111,10.064843306666656,88.07192418283125,0.0,0.0
5.7,4.931243769634373,10.086836561666658,86.40753678858486,0.0,0.0
5.7,4.87384929739079,10.109474651904758,84.60934907669639,0.0,0.0
3.2,-1.1211500278006215,10.132741377857142,84.2793247539341,0.0,0.0
3.6,0.33162169032591304,10.156620439761914,87.94599142060076,5.5,0.0
5.7,6.842969247368976,10.181095471666671,100.0,32.5,13.889874860748876
6.5,7.669276737513953,10.20615007357143,100.0,14.5,13.634128846802327
8.2,9.15938232299353,10.23176784333333,99.46097602004217,0.5,0.0
