Date,気温(℃),降水量(mm),日射量(MJ/㎡),風速(m/s),湿度(％),雲量(10分比)
2017-01-02,6.4,0.0,55.5,,1.65,1.95
2017-01-09,5.014285714285714,2.2857142857142856,52.857142857142854,,3.7285714285714286,3.3428571428571425
2017-01-16,3.3428571428571425,0.0,49.57142857142857,,2.8428571428571425,2.9
2017-01-23,3.7714285714285714,0.0,48.857142857142854,,3.6714285714285713,3.142857142857143
2017-01-30,5.342857142857143,0.0,43.142857142857146,,2.8285714285714287,2.9857142857142853
2017-02-06,5.457142857142857,0.0,38.42857142857143,,2.9,4.1
2017-02-13,4.0285714285714285,0.35714285714285715,41.714285714285715,,4.257142857142857,4.285714285714286
2017-02-20,6.7,0.21428571428571427,37.857142857142854,,3.242857142857143,3.585714285714286
2017-02-27,6.7,0.0,38.0,,5.8,3.8714285714285714
2017-03-06,7.485714285714286,0.7142857142857143,57.42857142857143,,6.142857142857143,2.3714285714285714
2017-03-13,6.7,0.07142857142857142,40.42857142857143,,3.914285714285714,3.128571428571429
2017-03-20,8.885714285714286,0.5714285714285714,45.857142857142854,,5.185714285714285,3.3714285714285714
2017-03-27,7.371428571428572,7.571428571428571,55.42857142857143,,7.014285714285714,3.6714285714285713
2017-04-03,8.814285714285715,1.2857142857142858,56.0,,5.757142857142857,2.357142857142857
2017-04-10,14.014285714285714,0.7857142857142857,63.0,,7.485714285714286,2.4714285714285715
2017-04-17,14.485714285714286,5.571428571428571,47.857142857142854,,6.0,3.2142857142857144
2017-04-24,15.742857142857144,0.5,51.142857142857146,,6.185714285714285,3.1
2017-05-01,15.785714285714286,0.7142857142857143,52.714285714285715,,5.8,2.3285714285714287
2017-05-08,19.271428571428572,0.0,49.285714285714285,,5.471428571428571,2.542857142857143
2017-05-15,18.599999999999998,5.785714285714286,69.57142857142857,,9.471428571428572,2.442857142857143
2017-05-22,21.228571428571428,0.0,59.57142857142857,,5.285714285714286,2.1714285714285713
2017-05-29,20.7,4.428571428571429,71.0,,7.385714285714286,2.3857142857142857
2017-06-05,21.97142857142857,1.2142857142857142,50.857142857142854,,6.814285714285715,3.1999999999999997
2017-06-12,21.52857142857143,1.2857142857142858,57.57142857142857,,9.042857142857143,2.6571428571428575
2017-06-19,21.385714285714283,0.07142857142857142,62.57142857142857,,8.142857142857142,2.4285714285714284
2017-06-26,24.085714285714285,4.214285714285714,65.85714285714286,,9.428571428571429,2.5
2017-07-03,25.014285714285712,3.5,77.14285714285714,,9.957142857142857,1.8
2017-07-10,27.82857142857143,14.857142857142858,67.28571428571429,,5.271428571428571,2.257142857142857
2017-07-17,29.157142857142855,1.5,67.28571428571429,,7.757142857142857,2.1285714285714286
2017-07-24,28.285714285714285,0.35714285714285715,69.71428571428571,,6.671428571428572,2.257142857142857
2017-07-31,26.47142857142857,6.428571428571429,79.28571428571429,,9.428571428571429,1.9428571428571428
2017-08-07,26.457142857142856,5.357142857142857,78.0,,9.757142857142856,2.2857142857142856
2017-08-14,26.3,7.785714285714286,80.57142857142857,,9.042857142857143,2.5142857142857147
2017-08-21,24.428571428571427,11.928571428571429,86.71428571428571,,9.957142857142857,1.7714285714285716
2017-08-28,28.071428571428573,0.0,66.71428571428571,,8.77142857142857,1.8571428571428572
2017-09-04,23.785714285714285,5.714285714285714,69.57142857142857,,8.042857142857143,2.242857142857143
2017-09-11,23.97142857142857,1.0,75.71428571428571,,6.7,1.9285714285714286
2017-09-18,23.714285714285715,8.214285714285714,66.85714285714286,,7.671428571428571,2.3285714285714287
2017-09-25,22.585714285714285,6.0,69.0,,8.77142857142857,1.9142857142857144
2017-10-02,20.957142857142856,3.0,69.85714285714286,,6.628571428571428,2.0
2017-10-09,19.142857142857142,3.5,68.57142857142857,,7.971428571428571,2.2857142857142856
2017-10-16,17.9,8.642857142857142,84.85714285714286,,8.471428571428572,1.5714285714285714
2017-10-23,14.814285714285715,48.07142857142857,87.0,,9.042857142857143,2.4285714285714284
2017-10-30,13.828571428571427,11.214285714285714,73.57142857142857,,6.142857142857143,2.142857142857143
2017-11-06,13.37142857142857,0.0,59.142857142857146,,3.2857142857142856,2.3714285714285714
2017-11-13,12.0,0.0,57.857142857142854,,3.6,2.5857142857142854
2017-11-20,8.7,0.0,62.857142857142854,,5.285714285714286,2.142857142857143
2017-11-27,8.042857142857143,1.5714285714285714,57.0,,4.957142857142856,2.257142857142857
2017-12-04,8.714285714285714,0.2857142857142857,69.14285714285714,,6.042857142857143,1.842857142857143
2017-12-11,6.057142857142857,0.21428571428571427,55.142857142857146,,2.6142857142857143,2.357142857142857
2017-12-18,4.642857142857143,0.0,44.285714285714285,,2.957142857142857,3.085714285714286
2017-12-25,5.328571428571428,0.14285714285714285,52.42857142857143,,2.1,2.442857142857143
2018-01-01,4.416666666666667,0.0,44.5,,2.9333333333333336,3.5833333333333335
